Código;Descrição;U.M;Valor custo R$;"Valor 
venda R$";Lucro R$;lucro %;Saldo estoque;"Custo estoque
Atual R$";Fornecedor;Cód Forn.
PRO0001;PARAFUSO ALLEN SEM CABEÇA M2X3 MA INOX A2;PÇ;0,2;0,6;0,4;200,00%;300;60;;
PRO0002;P. CAB. ABAULADA SX INT. M3-0.50 X 6 LG12.9-CO Titânio D;PÇ;1;1,5;0,5;50,00%;300;300;;
PRO0003;PORCA REBITE REC. M12 ABA PLANA INOX 304;PÇ;2;6,17;4,17;208,50%;100;200;;
PRO0004;PARAFUSO DE TRAÇÃO REBITADOR MANUAL ;PÇ;20;70;50;250,00%;41;820;;
PRO0005;P. RM PAN. C/ PH. M1.6-0.35 X 4mm - INOX A2;PÇ;1;1,07;0,07;7,00%;900;900;;
PRO0006;POR. SEXT. M1.6-0.35MA INOX A2;PÇ;1;0,35;-0,65;-65,00%;9.900,00;9900;;
PRO0007;P. S/C SEXT. INT P. CV M2-0.40 X 5 MA INOX A2;PÇ;1;0,66;-0,34;-34,00%;500;500;;
PRO0008;PARAFUSO M2x3 ALLEN CHATO INOX;PÇ;1;0,63;-0,37;-37,00%;1.000,00;1000;;
PRO0009;PARAFUSO TORX M1.6X5 CABEÇA CHATA INOX;PÇ;1;0,6;-0,4;-40,00%;1.000,00;1000;;
PRO0010;PARAFUSO TORX M2X5 CABEÇA CHATA INOX;PÇ;1;0,6;-0,4;-40,00%;1.000,00;1000;;
PRO0011;PARAFUSO ALLEN SEM CABEÇA M2X10 INOX;PÇ;1;0,6;-0,4;-40,00%;1.000,00;1000;;
PRO0012;ESPAÇADOR MACHO/FÊMEA M3X6X6 NYLON PA66 PRETO;PÇ;1;0,48;-0,52;-52,00%;4.800,00;4800;;
PRO0013;ESPAÇADOR MACHO/FÊMEA M3x10x6 NYLON PRETO;PÇ;1;0,58;-0,42;-42,00%;1.000,00;1000;;
PRO0014;ESPAÇADOR MACHO/FÊMEA M3x20x6 NYLON PRETO;PÇ;1;0,98;-0,02;-2,00%;1.000,00;1000;;
PRO0015;PARAFUSO M2x8 ALLEN ABAULADO INOX;PÇ;1;0,6;-0,4;-40,00%;1.000,00;1000;;
PRO0016;PARAFUSO M2x5 ALLEN ABAULADO INOX;PÇ;1;0,55;-0,45;-45,00%;1.000,00;1000;;
PRO0017;P. SEXT. RI M8-1.25MA X 40 NYLON P66-BRANCO;PÇ;1;6,9;5,9;590,00%;100;100;;
PRO0018;POR. SEXT. M8-1.25MA NYLON P66- BRANCO;PÇ;1;1,97;0,97;97,00%;200;200;;
PRO0019;AR. LISA M8 NYLON P66-BRANCO;PÇ;1;0,58;-0,42;-42,00%;500;500;;
PRO0020;FRETE SEDEX ;PÇ;1;50,06;49,06;4906,00%;200;200;;
PRO0021;P. CAB. CHATA SX INT. M3-0.50 X 5MA LG 12.9;PÇ;1;0,8;-0,2;-20,00%;100;100;;
PRO0022;P. RM CH C/ PH. M4-0.70 X 10MA NYLON P66- PRETO;PÇ;1;0,97;-0,03;-3,00%;50;50;;
PRO0023;P. RM CH C/ PH. M4-0.70 X 15MA NYLON P66- PRETO;PÇ;1;1,1;0,1;10,00%;50;50;;
PRO0024;PA M3X6 C. CHATA PHILLIPS INOX;PÇ;1;0,6;-0,4;-40,00%;1.000,00;1000;;
PRO0025;PORCA SEXTAVADA M3 INOX;PÇ;1;0,25;-0,75;-75,00%;1.000,00;1000;;
PRO0026;PA M1X10 C. PANELA PHILLIPS INOX;PÇ;1;0,8;-0,2;-20,00%;1.000,00;1000;;
PRO0027;PORCA SEXTAVADA M1 INOX;PÇ;1;0,3;-0,7;-70,00%;111;111;;
PRO0028;PA M2X6 C. CHATA PHILLIPS INOX;PÇ;1;0,6;-0,4;-40,00%;1.000,00;1000;;
PRO0029;PORCA SEXTAVADA COMUM M2x0,40 MA - INOX;PÇ;1;0,28;-0,72;-72,00%;1.000,00;1000;;
PRO0030;INSERTO METÁLICO M4x6x5;PÇ;1;0,64;-0,36;-36,00%;1.000,00;1000;;
PRO0031;INSERTO METÁLICO M5x6x6.5;PÇ;1;0,95;-0,05;-5,00%;1.000,00;1000;;
PRO0032;INSERTO METÁLICO M6x6x7;PÇ;1;1,8;0,8;80,00%;100;100;;
PRO0033;ESPAÇADOR MACHO/FÊMEA M3x25x6 NYLON PRETO;PÇ;1;1,05;0,05;5,00%;500;500;;
PRO0034;ARRUELA DE NYLON M2 PA66 PRETA;PÇ;1;0,25;-0,75;-75,00%;0;0;;
PRO0035;Arruela de Nylon PA66 - M2.5x5x1 - Preta;PÇ;1;0,25;-0,75;-75,00%;900;900;;
PRO0036;ARRUELA NYLON PA66  - M2 BRANCA;PÇ;1;0,48;-0,52;-52,00%;1.000,00;1000;;
PRO0037;ARRUELA NYLON PA66  - M4 BRANCA;PÇ;1;0,48;-0,52;-52,00%;200;200;;
PRO0038;PARAFUSO ALLEN SEM CABEÇA M3X6 INOX;PÇ;0,3;0,6;0,3;100,00%;1.000,00;300;;
PRO0039;PARAFUSO ALLEN SEM CABEÇA M3X8 INOX;PÇ;0,3;0,6;0,3;100,00%;500;150;;
PRO0040;PARAFUSO ALLEN SEM CABEÇA M3X10 INOX;PÇ;0,3;0,65;0,35;116,67%;1.000,00;300;;
PRO0041;PARAFUSO M2X6 C. PANELA PHILLIPS NYLON PA66 PRETO;PÇ;1;0,78;-0,22;-22,00%;1.000,00;1000;;
PRO0042;PARAFUSO M3X6 C. PANELA PHILLIPS NYLON PA66 PRETO;PÇ;1;0,31;-0,69;-69,00%;800;800;;
PRO0043;ESPAÇADOR M3X10 M/F NYLON PA66 PRETO;PÇ;11;0,74;-10,26;-93,27%;1.000,00;11000;;
PRO0044;ESPAÇADOR M2X10 M/F NYLON PA66 PRETO;PÇ;1;0,47;-0,53;-53,00%;10.000,00;10000;;
PRO0045;PARAFUSO M2.5X6 ALLEN CILINDRICO INOX A2;PÇ;1;0,6;-0,4;-40,00%;300;300;;
PRO0046;INSERTO METÁLICO M2.5x5x3.5;PÇ;1;0,78;-0,22;-22,00%;1.000,00;1000;;
PRO0047;INSERTO METÁLICO M1x2x2;PÇ;1;1,92;0,92;92,00%;300;300;;
PRO0048;PORCA REBITE M6 CILINDRICO ABA PLANA ALUMINIO;PÇ;1;1,4;0,4;40,00%;10.000,00;10000;;
PRO0049;PORCA REBITE M6 CILINDRICO ABA PLANA INOX;PÇ;1;2,6;1,6;160,00%;10.000,00;10000;;
PRO0050;PORCA REBITE M6 CILINDRICO ABA PLANA AÇO C. BICRO.;PÇ;1;0,6;-0,4;-40,00%;10.000,00;10000;;
PRO0051;PORCA REBITE M5 CILINDRICO ABA PLANA ALUMINIO;PÇ;1;1,27;0,27;27,00%;1.000,00;1000;;
PRO0052;PORCA REBITE M5 CILINDRICO ABA PLANA AÇO INOX;PÇ;1;1,58;0,58;58,00%;10.000,00;10000;;
PRO0053;PORCA REBITE M5 CILINDRICO ABA PLANA AÇO C. BICRO.;PÇ;1;0,52;-0,48;-48,00%;10.000,00;10000;;
PRO0054;PORCA REBITE M8 CILINDRICO ABA PLANA ALUMINIO;PÇ;1;1,7;0,7;70,00%;10.000,00;10000;;
PRO0055;PORCA REBITE M8 CILINDRICO ABA PLANA AÇO INOX;PÇ;1;2,72;1,72;172,00%;10.000,00;10000;;
PRO0056;PORCA REBITE M8 CILINDRICO ABA PLANA AÇO C. BICRO.;PÇ;1;0,78;-0,22;-22,00%;10.000,00;10000;;
PRO0057;REBITADEIRA PORCA REBITE MANUAL BT - 606 - M3 A M8;PÇ;1;350;349;34900,00%;3;3;;
PRO0058;PORCA REBITE M6 CILINDRICO ABA CÔNICA AÇO C. BICROMATIZADO;PÇ;1;0,67;-0,33;-33,00%;10.000,00;10000;;
PRO0059;P. RM PAN. C/ PH. M8-1.25 X 50 NYLON PA66 BRANCO ;PÇ;1;6,94;5,94;594,00%;188;188;;
PRO0060;POR. BORBOLETA M8-1.25MA-NYLON PA66- Branco;PÇ;1;5,98;4,98;498,00%;188;188;;
PRO0061;P. RM CH C/ PH. M8-1.25 X 20MA NYLON PA66- PRETO;PÇ;1;5,22;4,22;422,00%;100;100;;
PRO0062;ESPAÇADOR MACHO/FÊMEA M3x8x6 NYLON PRETO;PÇ;1;0,58;-0,42;-42,00%;1.108.112,00;1108112;;
PRO0063;INSERTO SERRILHADO LATÃO M6x8x8;PÇ;1;1,97;0,97;97,00%;0;0;;
PRO0064;PORCA SEXTAVADA M3 NYLON PRETO ;PÇ;1;0,38;-0,62;-62,00%;1.000,00;1000;;
